date,division,home_team,away_team,predicted,actual,prob_A,prob_D,prob_H,correct,home_elo,away_elo
2023-08-11,SP1,Almeria,Vallecano,H,A,0.3005,0.3033,0.3961,False,1619.4,1623.4
2023-08-11,F1,Nice,Lille,H,D,0.2853,0.3381,0.3766,False,1656.4,1700.4
2023-08-11,E0,Burnley,Man City,A,A,0.5577,0.2297,0.2126,True,1726.4,2077.3
2023-08-11,SP1,Sevilla,Valencia,H,A,0.1695,0.2418,0.5888,False,1768.2,1661.9
2023-08-12,E0,Arsenal,Nottm Forest,H,H,0.1087,0.1724,0.719,True,1919.4,1674.0
2023-08-12,E0,Bournemouth,West Ham,A,D,0.3913,0.3181,0.2905,False,1660.7,1779.5
2023-08-12,E0,Brighton,Luton,H,H,0.1255,0.1929,0.6816,True,1828.2,1606.5
2023-08-12,E0,Everton,Fulham,H,A,0.3049,0.3088,0.3862,False,1708.2,1736.6
2023-08-12,E0,Sheffield United,Crystal Palace,A,A,0.3746,0.3222,0.3032,True,1644.1,1757.4
2023-08-12,F1,Marseille,Reims,H,H,0.1971,0.2612,0.5417,True,1708.2,1596.6
2023-08-12,SP1,Sociedad,Girona,H,D,0.1858,0.2501,0.5641,False,1788.5,1666.8
2023-08-12,E0,Newcastle,Aston Villa,H,H,0.2317,0.2658,0.5025,True,1876.0,1828.0
2023-08-12,SP1,Las Palmas,Mallorca,H,D,0.3257,0.2901,0.3842,False,1576.3,1649.6
2023-08-12,F1,Paris SG,Lorient,H,D,0.1283,0.1944,0.6773,False,1810.8,1573.3
2023-08-12,SP1,Ath Bilbao,Real Madrid,A,A,0.4818,0.2583,0.2599,True,1696.7,1906.5
2023-08-13,F1,Brest,Lens,A,H,0.4906,0.2595,0.2499,False,1572.3,1761.6
2023-08-13,F1,Clermont,Monaco,H,A,0.3268,0.3215,0.3518,False,1593.7,1653.0
2023-08-13,F1,Montpellier,Le Havre,H,D,0.2195,0.2629,0.5175,False,1604.6,1477.1
2023-08-13,F1,Nantes,Toulouse,H,A,0.3054,0.2947,0.3999,False,1529.1,1568.8
2023-08-13,E0,Brentford,Tottenham,H,D,0.2324,0.2831,0.4845,False,1824.3,1815.9
2023-08-13,SP1,Celta,Osasuna,H,A,0.3177,0.2891,0.3932,False,1659.4,1670.8
2023-08-13,F1,Rennes,Metz,H,H,0.1619,0.2241,0.6141,True,1706.1,1539.0
2023-08-13,E0,Chelsea,Liverpool,A,D,0.4145,0.2787,0.3068,False,1788.1,1946.9
2023-08-13,SP1,Villarreal,Betis,H,A,0.2299,0.259,0.5111,False,1771.6,1739.3
2023-08-13,F1,Strasbourg,Lyon,A,H,0.3853,0.3002,0.3145,False,1602.4,1696.2
2023-08-13,SP1,Getafe,Barcelona,A,D,0.503,0.2667,0.2303,False,1651.1,1862.1
2023-08-14,SP1,Cadiz,Alaves,H,H,0.2655,0.2754,0.4591,True,1634.8,1598.6
2023-08-14,E0,Man United,Wolves,H,H,0.1074,0.1854,0.7071,True,1873.7,1719.1
2023-08-14,SP1,Ath Madrid,Granada,H,H,0.1122,0.1831,0.7047,True,1846.3,1620.6
2023-08-18,SP1,Mallorca,Villarreal,A,A,0.3849,0.2973,0.3177,True,1649.6,1760.7
2023-08-18,D1,Werder Bremen,Bayern Munich,A,A,0.6058,0.211,0.1832,True,1602.0,1935.6
2023-08-18,E0,Nottm Forest,Sheffield United,H,H,0.2463,0.2931,0.4606,True,1671.9,1637.5
2023-08-18,F1,Metz,Marseille,A,D,0.4839,0.2749,0.2412,False,1530.4,1705.3
2023-08-18,SP1,Valencia,Las Palmas,H,H,0.1972,0.2913,0.5115,True,1674.6,1576.2
2023-08-19,D1,Augsburg,MGladbach,A,D,0.3649,0.3187,0.3164,False,1587.2,1684.3
2023-08-19,D1,Hoffenheim,Freiburg,A,A,0.3617,0.3182,0.3201,True,1639.2,1732.7
2023-08-19,D1,Leverkusen,RB Leipzig,H,H,0.3456,0.2776,0.3767,True,1748.2,1825.4
2023-08-19,D1,Stuttgart,Bochum,H,H,0.2613,0.3137,0.4251,True,1628.8,1608.7
2023-08-19,D1,Wolfsburg,Heidenheim,H,H,0.2011,0.2525,0.5465,True,1710.0,1568.5
2023-08-19,E0,Fulham,Brentford,H,A,0.3095,0.2921,0.3984,False,1745.4,1822.6
2023-08-19,E0,Liverpool,Bournemouth,H,H,0.1175,0.1912,0.6912,True,1944.0,1662.6
2023-08-19,E0,Wolves,Brighton,A,A,0.419,0.2916,0.2894,True,1715.6,1832.4
2023-08-19,SP1,Sociedad,Celta,H,D,0.1811,0.2489,0.57,False,1783.4,1645.6
2023-08-19,I1,Empoli,Verona,H,A,0.2879,0.2992,0.4128,False,1626.1,1608.2
2023-08-19,I1,Frosinone,Napoli,A,A,0.5616,0.2355,0.2029,True,1592.1,1904.5
2023-08-19,D1,Dortmund,FC Koln,H,H,0.1238,0.197,0.6793,True,1840.5,1664.4
2023-08-19,E0,Tottenham,Man United,H,H,0.3323,0.2887,0.379,True,1817.7,1877.1
2023-08-19,F1,Lyon,Montpellier,H,A,0.1993,0.2516,0.5491,False,1684.9,1597.9
2023-08-19,SP1,Almeria,Real Madrid,A,A,0.589,0.2352,0.1758,True,1605.5,1913.3
2023-08-19,I1,Genoa,Fiorentina,A,A,0.4006,0.3111,0.2884,True,1597.4,1749.2
2023-08-19,I1,Inter,Monza,H,H,0.1129,0.1928,0.6944,True,1882.4,1655.8
2023-08-19,F1,Toulouse,Paris SG,A,D,0.4318,0.2889,0.2794,False,1574.9,1802.0
2023-08-19,E0,Man City,Newcastle,H,H,0.1831,0.2248,0.5921,True,2080.9,1887.1
2023-08-19,SP1,Osasuna,Ath Bilbao,H,A,0.2445,0.2861,0.4694,False,1684.6,1689.9
2023-08-20,F1,Lille,Nantes,H,H,0.1617,0.2376,0.6007,True,1698.3,1518.8
2023-08-20,F1,Le Havre,Brest,A,A,0.3648,0.3069,0.3283,True,1479.6,1581.9
2023-08-20,F1,Lorient,Nice,H,D,0.3368,0.3006,0.3627,False,1577.9,1654.3
2023-08-20,F1,Reims,Clermont,H,H,0.2696,0.2693,0.461,True,1590.1,1580.8
2023-08-20,E0,Aston Villa,Everton,H,H,0.17,0.2306,0.5994,True,1816.9,1699.5
2023-08-20,D1,Union Berlin,Mainz,H,H,0.2417,0.2497,0.5086,True,1738.9,1682.0
2023-08-20,F1,Monaco,Strasbourg,H,H,0.23,0.2807,0.4893,True,1661.7,1609.6
2023-08-20,D1,Ein Frankfurt,Darmstadt,H,H,0.1755,0.2514,0.5731,True,1717.0,1552.4
2023-08-20,E0,West Ham,Chelsea,H,H,0.2665,0.294,0.4394,True,1777.6,1791.0
2023-08-20,I1,Roma,Salernitana,H,D,0.1419,0.2062,0.6519,False,1789.7,1610.1
2023-08-20,I1,Sassuolo,Atalanta,A,A,0.3934,0.3045,0.3021,True,1649.6,1759.3
2023-08-20,SP1,Girona,Getafe,H,H,0.2829,0.286,0.4311,True,1672.0,1654.8
2023-08-20,SP1,Barcelona,Cadiz,H,H,0.1507,0.2249,0.6244,True,1858.4,1640.3
2023-08-20,I1,Lecce,Lazio,A,H,0.4789,0.2914,0.2297,False,1579.2,1780.0
2023-08-20,I1,Udinese,Juventus,A,A,0.406,0.2984,0.2957,True,1652.0,1796.9
2023-08-20,F1,Lens,Rennes,H,D,0.2365,0.2703,0.4932,False,1747.9,1710.6
2023-08-20,SP1,Betis,Ath Madrid,A,D,0.4352,0.2764,0.2884,False,1750.2,1849.3
2023-08-21,I1,Torino,Cagliari,H,D,0.2187,0.2546,0.5267,False,1692.6,1573.0
2023-08-21,SP1,Alaves,Sevilla,A,H,0.4309,0.2734,0.2957,False,1593.1,1755.5
2023-08-21,I1,Bologna,Milan,A,A,0.4307,0.2865,0.2828,True,1700.8,1829.9
2023-08-21,E0,Crystal Palace,Arsenal,A,A,0.4505,0.2825,0.267,True,1764.0,1921.5
2023-08-21,SP1,Granada,Vallecano,H,A,0.3165,0.2981,0.3854,False,1617.6,1637.2
2023-08-25,SP1,Las Palmas,Sociedad,A,D,0.4402,0.2929,0.2669,False,1576.2,1783.4
2023-08-25,D1,RB Leipzig,Stuttgart,H,H,0.1915,0.2429,0.5656,True,1825.4,1628.8
2023-08-25,F1,Nantes,Monaco,A,D,0.4318,0.3067,0.2615,False,1518.8,1661.7
2023-08-25,E0,Chelsea,Luton,H,H,0.1772,0.2275,0.5952,True,1791.0,1602.3
2023-08-25,SP1,Celta,Real Madrid,A,A,0.6258,0.2062,0.168,True,1645.6,1913.3
2023-08-26,E0,Bournemouth,Tottenham,A,A,0.4453,0.2899,0.2648,True,1662.6,1817.7
2023-08-26,D1,Bochum,Dortmund,A,D,0.5596,0.241,0.1994,False,1608.7,1840.5
2023-08-26,D1,Darmstadt,Union Berlin,A,A,0.4497,0.283,0.2674,True,1552.4,1738.9
2023-08-26,D1,FC Koln,Wolfsburg,H,A,0.3331,0.3038,0.363,False,1664.4,1710.0
2023-08-26,D1,Freiburg,Werder Bremen,H,H,0.1765,0.2399,0.5836,True,1732.7,1602.0
2023-08-26,D1,Heidenheim,Hoffenheim,H,A,0.3341,0.2906,0.3753,False,1568.5,1639.2
2023-08-26,E0,Arsenal,Fulham,H,D,0.1057,0.1724,0.7218,False,1921.5,1745.4
2023-08-26,E0,Brentford,Crystal Palace,H,D,0.1854,0.2695,0.5451,False,1822.6,1764.0
2023-08-26,E0,Everton,Wolves,H,A,0.2611,0.2618,0.477,False,1699.5,1715.6
